TICKER,SHORT_NAME,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
PTN UA Equity,PALATIN TECH INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
PTSI UQ Equity,PAM TRANSPORT,Industrials,Transportation,Road & Rail,Trucking
PTVCB UQ Equity,PROTECTIVE INS-B,Financials,Insurance,Insurance,Property & Casualty Insurance
PUB UR Equity,PEOPLE'S UTAH BA,Financials,Banks,Banks,Regional Banks
PUMP UN Equity,PROPETRO HOLDING,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
PVAC UW Equity,PENN VIRGINIA,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
PVBC UR Equity,PROVIDENT BANCOR,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
PVH UN Equity,PVH CORP,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
PWOD UW Equity,PENNS WOODS BNCP,Financials,Banks,Banks,Regional Banks
PWR UN Equity,QUANTA SERVICES,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
PXD UN Equity,PIONEER NATURAL,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
PYPL UW Equity,PAYPAL HOLDINGS,Information Technology,Software & Services,IT Services,Data Processing & Outsourced S
PYX UN Equity,PYXUS INTERNATIO,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
PZN UN Equity,PZENA INVES-CL A,Financials,Diversified Financials,Capital Markets,Asset Management & Custody Ban
PZZA UW Equity,PAPA JOHN'S INTL,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
QADA UW Equity,QAD INC-A,Information Technology,Software & Services,Software,Application Software
QCOM UW Equity,QUALCOMM INC,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
QCRH UQ Equity,QCR HOLDINGS INC,Financials,Banks,Banks,Regional Banks
QDEL UW Equity,QUIDEL CORP,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
QEP UN Equity,QEP RESOURCES IN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
QGEN UN Equity,QIAGEN NV,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
QLYS UW Equity,QUALYS INC,Information Technology,Software & Services,Software,Systems Software
QNST UW Equity,QUINSTREET INC,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
QRTEA UW Equity,QURATE RETAIL-A,Consumer Discretionary,Retailing,Internet & Direct Marketing Re,Internet & Direct Marketing Re
QRVO UW Equity,QORVO INC,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
QTRX UQ Equity,QUANTERIX CORP,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
QTS UN Equity,QTS REALTY TRU-A,Real Estate,Real Estate,Equity Real Estate Investment,Specialized REITs
QTWO UN Equity,Q2 HOLDINGS INC,Information Technology,Software & Services,Software,Application Software
QUAD UN Equity,QUAD GRAPHICS IN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Commercial Printing
QUOT UN Equity,QUOTIENT TECHNOL,Consumer Discretionary,Retailing,Internet & Direct Marketing Re,Internet & Direct Marketing Re
R UN Equity,RYDER SYSTEM INC,Industrials,Transportation,Road & Rail,Trucking
RAD UN Equity,RITE AID CORP,Consumer Staples,Food & Staples Retailing,Food & Staples Retailing,Drug Retail
RAMP UN Equity,LIVERAMP HOLDING,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
RAPT UQ Equity,RAPT THERAPEUTIC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RARE UW Equity,ULTRAGENYX PHARM,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RARX UQ Equity,RA PHARMACEUTICA,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RAVN UW Equity,RAVEN INDUSTRIES,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
RBB UW Equity,RBB BANCORP,Financials,Banks,Banks,Regional Banks
RBBN UW Equity,RIBBON COMMUNICA,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
RBC UN Equity,REGAL BELOIT COR,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
RBCAA UW Equity,REPUBLIC BNCRP-A,Financials,Banks,Banks,Regional Banks
RBNC UR Equity,RELIANT BANCORP,Financials,Banks,Banks,Regional Banks
RC UN Equity,READY CAPITAL CO,Financials,Diversified Financials,Mortgage Real Estate Investmen,Mortgage REITs
RCII UW Equity,RENT-A-CENTER,Consumer Discretionary,Retailing,Specialty Retail,Computer & Electronics Retail
RCKT UQ Equity,ROCKET PHARMACEU,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RCKY UW Equity,ROCKY BRANDS INC,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo",Footwear
RCL UN Equity,ROYAL CARIBBEAN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
RCM UW Equity,R1 RCM INC,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
RCUS UN Equity,ARCUS BIOSCIENCE,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RDFN UW Equity,REDFIN CORP,Real Estate,Real Estate,Real Estate Management & Devel,Real Estate Services
RDI UR Equity,READING INTL-A,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
RDN UN Equity,RADIAN GROUP INC,Financials,Banks,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
RDNT UQ Equity,RADNET INC,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
RDUS UQ Equity,RADIUS HEALTH IN,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RE UN Equity,EVEREST RE GROUP,Financials,Insurance,Insurance,Reinsurance
REAL UW Equity,REALREAL INC/THE,Consumer Discretionary,Retailing,Internet & Direct Marketing Re,Internet & Direct Marketing Re
RECN UW Equity,RESOURCES CONNEC,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
REG UW Equity,REGENCY CENTERS,Real Estate,Real Estate,Equity Real Estate Investment,Retail REITs
REGI UW Equity,RENEWABLE ENERGY,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
REGN UW Equity,REGENERON PHARM,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
REI UA Equity,RING ENERGY INC,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
REPH UR Equity,RECRO PHARMA INC,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
REPL UW Equity,REPLIMUNE GROUP,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RES UN Equity,RPC INC,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
RESI UN Equity,FRONT YARD RESID,Real Estate,Real Estate,Equity Real Estate Investment,Residential REITs
RETA UQ Equity,REATA PHARMACE-A,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
REV UN Equity,REVLON INC-A,Consumer Staples,Household & Personal Products,Personal Products,Personal Products
REVG UN Equity,REV GROUP INC,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
REX UN Equity,REX AMERICAN RES,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
REXR UN Equity,REXFORD INDUSTRI,Real Estate,Real Estate,Equity Real Estate Investment,Industrial REITs
REZI UN Equity,RESIDEO TECHN,Industrials,Capital Goods,Building Products,Building Products
RF UN Equity,REGIONS FINANCIA,Financials,Banks,Banks,Regional Banks
RFL UN Equity,RAFAEL HOLDING-B,Real Estate,Real Estate,Real Estate Management & Devel,Real Estate Operating Companie
RGA UN Equity,REINSURANCE GROU,Financials,Insurance,Insurance,Reinsurance
RGCO UQ Equity,RGC RESOURCES,Utilities,Utilities,Gas Utilities,Gas Utilities
RGEN UW Equity,REPLIGEN CORP,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
RGLD UW Equity,ROYAL GOLD INC,Materials,Materials,Metals & Mining,Gold
RGNX UW Equity,REGENXBIO INC,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
RGR UN Equity,STURM RUGER & CO,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
RGS UN Equity,REGIS CORP,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
RH UN Equity,RH,Consumer Discretionary,Retailing,Specialty Retail,Homefurnishing Retail
RHI UN Equity,ROBERT HALF INTL,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
RHP UN Equity,RYMAN HOSPITALIT,Real Estate,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs
RICK UQ Equity,RCI HOSPITALITY,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities
RIG UN Equity,TRANSOCEAN LTD,Energy,Energy,Energy Equipment & Services,Oil & Gas Drilling
